rank,appId,name,currentPlayers,peakPlayers,hoursPlayed,Australian Dollar,Brazilian Real,British Pound,CIS - U.S. Dollar,Canadian Dollar,Chilean Peso,Chinese Yuan,Colombian Peso,Costa Rican Colon,Euro,Hong Kong Dollar,Indian Rupee,Indonesian Rupiah,Israeli New Shekel,Japanese Yen,Kazakhstani Tenge,Kuwaiti Dinar,LATAM - U.S. Dollar,MENA - U.S. Dollar,Malaysian Ringgit,Mexican Peso,New Zealand Dollar,Norwegian Krone,Peruvian Sol,Philippine Peso,Polish Zloty,Qatari Riyal,Russian Ruble,Saudi Riyal,Singapore Dollar,South African Rand,South Asia - USD,South Korean Won,Swiss Franc,Taiwan Dollar,Thai Baht,U.A.E. Dirham,U.S. Dollar,Ukrainian Hryvnia,Uruguayan Peso,Vietnamese Dong
1,730,Counter-Strike 2,1027111,1762629,748505201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,570,Dota 2,311759,636438,290463067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,578080,PUBG: BATTLEGROUNDS,309377,804674,222321373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1172470,Apex Legends,118447,262219,93395259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2923300,Banana,101896,125947,73347248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3419430,Bongo Cat,91948,193859,101201234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2507950,Delta Force,77790,151417,51344157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,431960,Wallpaper Engine,74650,130886,54879069,"4,27€","2,80€","5,08€","2,90€","4,12€","2,80€","2,80€","2,87€","4,19€","4,99€","3,94€","2,57€","2,55€","4,61€","3,55€","2,59€","3,16€","2,64€","2,64€","2,89€","2,95€","3,87€","5,19€","2,88€","2,77€","4,71€","3,15€","3,62€","3,29€","3,59€","2,71€","2,64€","3,56€","5,88€","3,51€","3,10€","3,60€","4,40€","2,67€","3,37€","2,55€"
9,252490,Rust,67366,203367,73628093,"34,14€","18,69€","41,44€","17,65€","33,06€","20,13€","16,91€","20,24€","28,81€","39,99€","26,83€","17,53€","16,69€","36,18€","28,22€","18,19€","18,67€","16,76€","16,76€","18,41€","20,55€","32,49€","31,94€","20,42€","13,32€","28,29€","23,05€","16,53€","21,18€","27,36€","16,71€","16,76€","26,72€","46,60€","21,93€","21,55€","25,24€","35,31€","14,96€","24,57€","15,98€"
10,553850,HELLDIVERS™ 2,56324,162997,27144995,"27,31€","24,86€","33,15€",,"25,43€","20,97€","19,41€","25,40€","31,42€","31,99€","27,78€","20,61€","24,94€","31,74€","21,99€",,"27,97€","28,25€","28,25€","27,97€","25,60€","29,33€","31,10€","26,72€",,"31,87€","26,98€",,"32,96€","30,04€","28,36€",,"22,80€","34,20€","27,87€","27,84€","30,58€","28,25€","20,52€","27,12€",
11,1203220,NARAKA: BLADEPOINT,52706,166102,40089605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,271590,Grand Theft Auto V Legacy,51369,115706,46173109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2767030,Marvel Rivals,48728,198275,79154422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,413150,Stardew Valley,43577,100342,39344487,"9,67€","3,89€","13,01€","8,82€","10,80€","7,02€","5,88€","6,81€","11,34€","13,99€","11,16€","4,94€","6,24€","13,96€","9,08€","4,15€","8,05€","4,40€","5,28€","6,41€","6,86€","9,43€","8,65€","9,60€","6,66€","12,73€","8,24€","3,29€","11,06€","10,26€","7,84€","6,17€","10,18€","16,07€","11,65€","8,49€","11,05€","13,23€","4,90€","6,97€","5,61€"
15,236390,War Thunder,39991,107400,41507554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2252570,Football Manager 2024,38791,71937,32748866,"45,52€",,"53,28€","35,31€","47,69€","40,27€","32,84€","38,14€","48,71€","59,99€","37,10€","35,05€","35,--€","49,66€","36,75€","34,48€","37,41€","35,31€","35,31€","41,17€","38,91€","47,15€","51,86€","38,21€","36,47€","58,71€","42,47€",,"42,14€","40,36€","36,93€","35,31€","37,54€","64,18€","38,03€","40,44€","38,22€","52,97€","36,36€","34,96€","37,07€"
17,1086940,Baldur's Gate 3,36362,153070,58882905,"40,97€","24,92€","47,36€","21,18€","40,69€","29,97€","29,21€","33,92€","48,75€","47,99€","35,99€","24,74€","30,15€","53,70€","41,72€","19,40€","46,01€","24,71€","24,71€","36,24€","47,57€","41,93€","41,49€","38,26€","32,98€","46,96€","46,40€","17,63€","43,13€","37,76€","31,52€","21,18€","33,60€","59,99€","37,45€","38,82€","44,04€","42,37€","15,38€","27,12€","26,93€"
18,3240220,Grand Theft Auto V Enhanced,35467,86303,31928851,"25,59€","23,35€","35,52€","26,48€","28,61€","25,27€","18,26€","25,55€","28,61€","29,99€","26,27€","25,77€","23,64€","28,20€","26,87€","25,99€","28,63€","26,48€","26,48€","25,65€","27,42€","28,80€","31,94€","26,65€","26,95€","30,41€","29,12€",,,"26,68€","28,06€","26,48€","23,41€","32,03€","26,05€","25,87€",,"26,48€","28,87€","24,15€","23,23€"
19,440,Team Fortress 2,33460,55704,29805125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
